PepID,AMPLabel,Prob
D04288,1,0.97
D04289,0,0.016
D04290,1,0.967
D04291,1,1.0
D04292,0,0.005
D04293,1,1.0
D04294,1,1.0
D04295,0,0.057
D04296,1,1.0
D04297,1,1.0
D04298,1,0.998
D04299,1,0.0
D04300,0,0.0
D04301,0,0.034
D04302,0,0.095
D04303,0,0.008
D04304,0,0.001
D04305,0,0.016
D04306,1,0.787
D04307,0,0.179
D04308,0,0.002
D04309,0,0.384
D04310,0,0.054
D04311,0,0.034
D04312,0,0.001
D04313,0,0.002
D04314,1,0.839
D04315,1,0.67
D04316,1,0.57
D04317,1,0.627
D04318,0,0.413
D04319,1,0.813
D04320,0,0.01
D04321,0,0.003
D04322,0,0.109
D04323,0,0.078
D04324,0,0.012
D04325,0,0.042
D04326,0,0.009
D04327,0,0.006
D04328,0,0.003
D04329,0,0.005
D04330,0,0.08
D04331,1,0.995
D04332,0,0.002
D04333,0,0.003
D04334,0,0.123
D04335,0,0.036
D04336,0,0.182
D04337,0,0.249
D04338,0,0.016
D04339,1,0.952
D04340,1,0.905
D04341,1,0.702
D04342,0,0.016
D04343,1,0.906
D04344,1,0.975
D04345,0,0.137
D04346,0,0.027
D04347,0,0.128
D04348,0,0.051
D04349,0,0.061
D04350,0,0.405
D04351,0,0.077
D04352,1,0.543
D04353,0,0.011
D04354,0,0.132
D04355,0,0.178
D04356,0,0.116
D04357,0,0.059
D04358,0,0.0
D04359,0,0.022
D04360,0,0.002
D04361,0,0.002
D04362,0,0.034
D04363,0,0.117
D04364,1,0.673
D04365,0,0.239
D04366,1,0.833
D04367,0,0.062
D04368,0,0.038
D04369,0,0.138
D04370,0,0.192
D04371,0,0.462
D04372,0,0.007
D04373,0,0.006
D04374,0,0.415
D04375,1,1.0
D04376,0,0.008
D04377,1,1.0
D04378,1,1.0
D04379,0,0.014
D04380,1,0.511
D04381,0,0.004
D04382,0,0.006
D04383,0,0.49
D04384,0,0.042
D04385,1,0.612
D04386,0,0.013
D04387,0,0.036
D04388,0,0.002
D04389,0,0.008
D04390,1,0.743
D04391,0,0.258
D04392,0,0.061
D04393,0,0.014
D04394,0,0.316
D04395,0,0.04
D04396,0,0.031
D04397,0,0.025
D04398,0,0.48
D04399,0,0.238
D04400,0,0.342
D04401,0,0.099
D04402,0,0.033
D04403,0,0.402
D04404,0,0.048
D04405,0,0.137
D04406,0,0.261
D04407,0,0.163
D04408,0,0.018
D04409,0,0.057
