PepID,AMPLabel,Prob
A04601,1,1.0
A04602,0,0.025
A04603,0,0.006
A04604,0,0.011
A04605,0,0.028
A04606,0,0.006
A04607,1,0.869
A04608,0,0.154
A04609,0,0.184
A04610,0,0.139
A04611,0,0.034
A04612,0,0.109
A04613,0,0.014
A04614,0,0.001
A04615,0,0.063
A04616,0,0.046
A04617,1,0.998
A04618,1,0.994
A04619,0,0.049
A04620,1,0.999
A04621,0,0.004
A04622,1,0.996
A04623,1,1.0
A04624,0,0.423
A04625,1,0.98
A04626,0,0.004
A04627,1,0.866
A04628,0,0.001
A04629,1,0.661
A04630,0,0.053
A04631,0,0.047
A04632,0,0.003
A04633,0,0.041
A04634,1,0.995
A04635,0,0.13
A04636,1,0.959
A04637,0,0.195
A04638,0,0.364
A04639,0,0.018
A04640,0,0.004
A04641,1,0.98
A04642,1,0.725
A04643,0,0.147
A04644,1,0.924
A04645,0,0.001
A04646,0,0.36
A04647,1,1.0
A04648,1,1.0
A04649,0,0.001
A04650,1,1.0
A04651,0,0.023
A04652,0,0.057
A04653,0,0.334
A04654,0,0.006
A04655,0,0.003
A04656,0,0.027
A04657,0,0.045
A04658,0,0.404
A04659,1,1.0
A04660,0,0.014
A04661,0,0.016
A04662,1,0.742
A04663,0,0.002
A04664,0,0.021
A04665,0,0.006
A04666,0,0.311
A04667,0,0.129
A04668,1,0.89
A04669,0,0.0
A04670,0,0.011
A04671,0,0.015
A04672,0,0.002
A04673,0,0.009
A04674,1,0.799
A04675,0,0.004
A04676,1,0.74
A04677,1,0.995
A04678,0,0.031
A04679,0,0.013
A04680,0,0.005
A04681,1,0.866
A04682,1,0.69
A04683,0,0.023
A04684,0,0.04
A04685,0,0.14
A04686,0,0.001
A04687,1,0.781
A04688,0,0.0
A04689,0,0.074
A04690,0,0.036
A04691,1,0.538
A04692,0,0.011
A04693,1,0.987
A04694,1,1.0
A04695,1,0.736
A04696,1,1.0
A04697,0,0.056
A04698,1,0.979
A04699,0,0.022
A04700,0,0.005
A04701,0,0.004
A04702,0,0.002
A04703,1,0.778
A04704,1,0.597
A04705,0,0.079
A04706,0,0.125
A04707,0,0.001
A04708,0,0.134
A04709,0,0.01
A04710,0,0.001
A04711,0,0.002
A04712,0,0.028
A04713,0,0.003
A04714,0,0.087
A04715,0,0.066
A04716,0,0.058
A04717,0,0.026
A04718,1,0.663
A04719,0,0.046
A04720,0,0.383
A04721,1,0.744
A04722,1,0.556
A04723,1,0.78
A04724,0,0.471
A04725,0,0.418
A04726,1,0.99
A04727,0,0.044
A04728,0,0.002
A04729,0,0.245
A04730,0,0.003
A04731,0,0.01
A04732,0,0.15
A04733,0,0.065
A04734,1,0.962
A04735,0,0.013
A04736,0,0.094
A04737,0,0.069
A04738,0,0.193
A04739,0,0.005
A04740,0,0.014
A04741,1,0.869
A04742,0,0.366
A04743,1,0.996
A04744,0,0.008
A04745,0,0.001
A04746,0,0.119
A04747,0,0.009
A04748,0,0.265
A04749,0,0.089
A04750,1,0.971
